epoch,loss,val_loss
0,7.72394846200943,4.946644306182861
1,5.2954612865448,3.8850982189178467
2,4.857740510940552,3.9834306240081787
3,4.640215812921524,3.4571144580841064
4,4.526421030044555,3.4975016117095947
5,4.477138795614243,3.423069715499878
6,4.435911723136902,3.3329484462738037
7,4.380923624038696,3.3799691200256348
8,4.363852998495102,3.865692138671875
9,4.31414121389389,3.1411285400390625
10,4.299897532463074,3.031771659851074
11,4.274095645427704,3.003246545791626
12,4.251535774707794,2.896484136581421
13,4.26416069149971,2.9663684368133545
14,4.255012520074844,3.5611326694488525
15,4.211338531732559,3.2098071575164795
16,4.202533299446106,3.3096883296966553
17,4.227019253492355,3.266462802886963
18,4.17570156955719,3.102064847946167
19,4.189555806159973,3.204084634780884
20,4.169964695453644,3.1528897285461426
21,4.207371015071869,3.2812962532043457
22,4.1531582300663,2.964606761932373
23,4.138475733041763,3.4121124744415283
24,4.154598172187805,3.2165777683258057
25,4.119530958890915,3.1595704555511475
26,4.111284568786621,3.1606245040893555
27,4.1148603365421295,2.994676351547241
28,4.135027186632156,3.2436516284942627
29,4.135679329633713,3.2178165912628174
30,4.106948666334152,3.2588138580322266
31,4.119642682075501,2.9590718746185303
32,4.100095648288727,3.3051137924194336
33,4.118307256937027,3.1472222805023193
34,4.112240682125091,3.0862181186676025
35,4.085630784988403,2.7369658946990967
36,4.075346820831299,2.7527756690979004
37,4.085265800714493,2.9708027839660645
38,4.063266684532166,3.2924938201904297
39,4.066300791501999,3.12491774559021
40,4.094930057525635,2.9999444484710693
41,4.069962064743042,3.229367256164551
42,4.036986543178559,3.1334924697875977
43,4.0583602468967435,3.1583824157714844
44,4.060517112493515,3.1201250553131104
45,4.060656274318695,3.193837881088257
